year,dep,eme_h,eme_m,tctita_h,tctita_m,tctib_h,tctib_m,tctic_h,tctic_m,mctia_h,mctia_m,mctib_h,mctib_m,mctic_h,mctic_m,tcasa_h,tcasa_m,tcasb_h,tcasb_m,tcasc_h,tcasc_m,mcasa_h,mcasa_m,mcasb_h,mcasb_m,mcasc_h,mcasc_m,ay_h,ay_m,tec_h,tec_m
1971,Igeografía,,,,,1,2,2,4,,,,,1,,,,,,,,,,,,,,,,,
1971,Igeología,,,3,,4,2,3,2,1,,2,,3,,,,,,,,,,,,,,,,,
1971,IIBIOMÉDICAS,,,9,,12,5,3,1,1,,1,2,1,2,,,,,,,,,,,,,,,,
1971,IM,,,9,,3,,2,,,,,,,,,,,,,,,,,,,,,,,
1971,IQ,,,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1971,Lab Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,ENA,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1971,ANP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,FCPyS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,CELiterarios,,,1,,,,,,,,,,,,1,2,2,1,1,1,,,,,,,,,,
1972,CELing,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
1972,CTradLenguas Clas,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1972,CE Mayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,BN,,,,,,,1,,,,,,,,1,,,1,2,,2,,2,3,,,,,,
1972,IIEc,,,1,1,1,,3,,2,,,,,,1,,1,,3,,,,,,,,,,,
1972,IIE,,,,,,,,1,,,,,,,,1,,,4,3,,,,,,,,,,
1972,IIF,1,,3,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,
1972,IIH,,,,1,,,,,1,,,,,,1,1,1,,1,,,3,,,1,,,,,
1972,Sección Antropología,1,,,,,,2,,,,,,,,,,,,3,1,,,,,1,,,,,
1972,IIJ,1,,1,,,,1,,1,,,,,,4,,,,3,,1,,,,,,,,,
1972,IIS,,,,,1,,3,,,,,,,,4,3,6,,5,,1,1,1,,,,,,,
1972,CIMASS,,,3,,,,,,,,,,,,2,,,,1,,,,,,,,,,,
1972,CIMateriales,,,2,,1,,,,1,,,,,,5,,2,,1,,,,,,,,,,,
1972,CEN,,,,,1,,,,,,,,,,5,1,2,,,,,1,2,,1,,,,,
1972,IA,,,2,,1,,5,,,,1,,,,1,,1,1,1,,1,1,,,,,,,,
1972,Ibio,,,7,1,2,,4,3,,,,,,,5,,8,1,1,,1,,,,,,,,,
1972,JB,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1972,Chamela,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1972,IF,,,5,,12,,9,,1,,,,,,2,,5,1,6,2,2,,1,,,1,,,,
1972,Igeofísica,,,6,,,,1,2,,,,,,,1,1,6,1,6,1,,,,,,,,,,
1972,Igeografía,,,1,,,1,,,,,,,,,,1,,1,5,,1,2,,,,,,,,
1972,Igeología,,,,,2,,,,1,,,,,,16,3,2,1,2,2,4,1,1,,1,,,,,
1972,IIBIOMÉDICAS,,,,8,,7,1,6,,,,1,,,5,,3,2,2,1,1,1,1,2,,,,,,
1972,IM,,,4,,2,,7,,,,,,,,1,1,,,1,,,,,,,,,,,
1972,IQ,,,1,,2,1,6,,,,,,,,3,,4,,2,1,,,,,,,,,,
1972,ENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,FC,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
1972,FCPyS,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
1972,FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,ffyl,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1972,FI,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1972,FM ,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1972,CUEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,CELiterarios,,,,,1,,,,,,,,,,1,2,2,,1,1,,,,,,,1,2,,
